* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2023 12:35:09 PM
* REW Settings:
*  C-weighting compensation: On
*  Target level: 75.0 dB
* Note: 
* Measurement: Mar 10
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
256.713888 66.116 174.6772
257.080099 66.111 174.6827
257.446310 66.107 174.6884
257.812521 66.102 174.6940
258.178732 66.098 174.6997
258.544943 66.094 174.7055
258.911154 66.089 174.7114
259.277365 66.085 174.7173
259.643576 66.080 174.7233
260.009787 66.076 174.7292
260.375998 66.072 174.7354
260.742209 66.067 174.7415
261.108420 66.063 174.7476
261.474631 66.059 174.7538
261.840842 66.054 174.7601
262.207053 66.050 174.7665
262.573264 66.046 174.7728
262.939475 66.041 174.7792
263.305686 66.037 174.7857
263.671897 66.033 174.7922
264.038108 66.029 174.7988
264.404319 66.024 174.8054
264.770530 66.020 174.8120
265.136741 66.016 174.8187
265.502952 66.012 174.8254
265.869163 66.007 174.8322
266.235373 66.003 174.8391
266.601584 65.999 174.8459
266.967795 65.995 174.8528
267.334006 65.990 174.8597
267.700217 65.986 174.8666
268.066428 65.982 174.8737
268.432639 65.978 174.8807
268.798850 65.974 174.8878
269.165061 65.970 174.8950
269.531272 65.965 174.9022
269.897483 65.961 174.9094
270.263694 65.957 174.9167
270.629905 65.953 174.9240
270.996116 65.949 174.9314
271.362327 65.945 174.9388
271.728538 65.941 174.9463
272.094749 65.937 174.9538
272.460960 65.933 174.9614
272.827171 65.929 174.9691
273.193382 65.924 174.9767
273.559593 65.920 174.9845
273.925804 65.916 174.9923
274.292015 65.912 175.0002
274.658226 65.908 175.0082
275.024437 65.904 175.0162
275.390648 65.900 175.0243
275.756859 65.896 175.0324
276.123070 65.892 175.0406
276.489281 65.888 175.0490
276.855492 65.884 175.0573
277.221703 65.880 175.0657
277.587913 65.877 175.0742
277.954124 65.873 175.0828
278.320335 65.869 175.0915
278.686546 65.865 175.1002
279.052757 65.861 175.1090
279.418968 65.857 175.1179
279.785179 65.853 175.1269
280.151390 65.849 175.1359
280.517601 65.845 175.1451
280.883812 65.841 175.1543
281.250023 65.837 175.1636
281.616234 65.834 175.1730
281.982445 65.830 175.1824
282.348656 65.826 175.1920
282.714867 65.822 175.2016
283.081078 65.818 175.2113
283.447289 65.814 175.2211
283.813500 65.810 175.2310
284.179711 65.807 175.2409
284.545922 65.803 175.2510
284.912133 65.799 175.2611
285.278344 65.795 175.2713
285.644555 65.791 175.2816
286.010766 65.788 175.2920
286.376977 65.784 175.3025
286.743188 65.780 175.3130
287.109399 65.776 175.3237
287.475610 65.772 175.3344
287.841821 65.769 175.3453
288.208032 65.765 175.3562
288.574243 65.761 175.3672
288.940453 65.757 175.3783
289.306664 65.753 175.3895
289.672875 65.750 175.4008
290.039086 65.746 175.4122
290.405297 65.742 175.4236
290.771508 65.738 175.4352
291.137719 65.735 175.4469
291.503930 65.731 175.4587
291.870141 65.727 175.4706
292.236352 65.723 175.4825
292.602563 65.720 175.4946
292.968774 65.716 175.5068
293.334985 65.712 175.5191
293.701196 65.708 175.5316
294.067407 65.705 175.5441
294.433618 65.701 175.5566
294.799829 65.697 175.5694
295.166040 65.693 175.5822
295.532251 65.690 175.5952
