* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 10, 2023 12:33:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Mar 10
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
327.026394 66.097 174.4419
327.392605 66.095 174.4524
327.758816 66.092 174.4630
328.125027 66.089 174.4735
328.491238 66.087 174.4841
328.857449 66.084 174.4948
329.223660 66.081 174.5054
329.589871 66.079 174.5162
329.956082 66.076 174.5269
330.322293 66.073 174.5377
330.688504 66.071 174.5485
331.054715 66.068 174.5594
331.420926 66.066 174.5703
331.787137 66.063 174.5812
332.153348 66.061 174.5921
332.519559 66.058 174.6031
332.885770 66.056 174.6141
333.251981 66.053 174.6251
333.618191 66.050 174.6362
333.984402 66.048 174.6473
334.350613 66.045 174.6584
334.716824 66.043 174.6696
335.083035 66.040 174.6807
335.449246 66.038 174.6920
335.815457 66.036 174.7032
336.181668 66.033 174.7144
336.547879 66.031 174.7257
336.914090 66.028 174.7371
337.280301 66.026 174.7484
337.646512 66.023 174.7598
338.012723 66.021 174.7711
338.378934 66.019 174.7825
338.745145 66.016 174.7940
339.111356 66.014 174.8055
339.477567 66.011 174.8170
339.843778 66.009 174.8284
340.209989 66.007 174.8400
340.576200 66.004 174.8516
340.942411 66.002 174.8632
341.308622 66.000 174.8748
341.674833 65.997 174.8864
342.041044 65.995 174.8980
342.407255 65.993 174.9097
342.773466 65.990 174.9214
343.139677 65.988 174.9331
343.505888 65.986 174.9448
343.872099 65.984 174.9566
344.238310 65.981 174.9684
344.604520 65.979 174.9802
344.970731 65.977 174.9920
345.336942 65.975 175.0038
